X,Y,Z,Sulfide,Sulfate,Archaea;__Euryarchaeota;__Methanomicrobia;__ANME_1;__f;__g,Archaea;__Euryarchaeota;__Methanomicrobia;__Methanosarcinales;__ANME_2c;__g,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobacteraceae;__SEEP_SRB1,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobulbaceae;__SEEP_SRB2,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobulbaceae;__SEEP_SRB4,Sample_Name,Cylinder,Latitude_deg,Longitude_deg,Latitude_rel_cm,Longitude_rel_cm,Horizon,sum_abundance,observed,dist_to_nearest,xyz_of_nearest
0,15,12,0.04812348668280931,8.416432203389828,0.2351838587146578,0.00453185360129307,0.000628736123702305,0.006538688394398541,5.612202964305999e-05,,,,,,,,,0,35.0,"(30, 0, 2)"
0,15,13,0.037764550264550056,8.196102645502641,0.2256092083862721,0.0044920201961057525,0.0006366795665590556,0.006397531761871573,5.725813647138775e-05,,,,,,,,,0,35.298725189445584,"(30, 0, 2)"
0,30,0,0.29909594095941056,13.647619557195577,0.4305026491975032,0.003448491877240517,0.00039920803456241035,0.008132783943374201,0.0,,,,,,,,,0,42.42640687119285,"(30, 0, 0)"
0,30,1,0.27562500000000234,12.775276093750003,0.44645299619047163,0.003876754288457914,0.0004203606395838054,0.00872292868128426,1.922026145047076e-06,,,,,,,,,0,42.42640687119285,"(30, 0, 1)"
0,30,2,0.2419843342036579,12.063322976501308,0.44341128690616466,0.004271646230060781,0.0004640252556403242,0.008969476080400773,1.1671741500081482e-05,,,,,,,,,0,42.42640687119285,"(30, 0, 2)"
0,30,3,0.2203784403669751,11.419256077981654,0.4535313643718128,0.00462231196616208,0.0005243141891887675,0.009398181588696231,1.9114549977152514e-05,,,,,,,,,0,42.43819034784589,"(30, 0, 2)"
0,30,4,0.19924024640657362,10.99411632443532,0.4046236609988907,0.004681537554866858,0.0005529973584467618,0.008824714019528028,2.894269233077363e-05,,,,,,,,,0,42.473521163190604,"(30, 0, 2)"
0,30,5,0.1787957610790008,10.473459730250482,0.3677859529291737,0.004706966066625874,0.0005765184657103951,0.008367411780213191,3.675814087491976e-05,,,,,,,,,0,42.532340636273474,"(30, 0, 2)"
0,30,6,0.1564872262773743,10.158666605839418,0.31994573869281456,0.004640949314560556,0.0005840409137289078,0.007706320321381388,4.36525828888985e-05,,,,,,,,,0,42.61455150532503,"(30, 0, 2)"
0,30,7,0.13624548736462294,9.731312274368232,0.29733702677004303,0.00463392558866963,0.0005956698676083595,0.007427308112510143,4.779891281084286e-05,,,,,,,,,0,42.720018726587654,"(30, 0, 2)"
0,30,8,0.11420289855072374,9.396972373188405,0.269829506760009,0.0046415731388346,0.0006093471970684821,0.007081958404057485,5.275660337750887e-05,,,,,,,,,0,42.8485705712571,"(30, 0, 2)"
0,30,9,0.09617537313432747,8.999203078358208,0.25558237148914376,0.004696071589106711,0.0006190665300306779,0.0069119307950520695,5.4878264782366e-05,,,,,,,,,0,43.0,"(30, 0, 2)"
0,30,10,0.0782456140350872,8.68718996101365,0.23685689645378058,0.004719242457044036,0.0006318236345677355,0.006670455025734964,5.84295780329925e-05,,,,,,,,,0,43.174066289845804,"(30, 0, 2)"
0,30,11,0.06395397489539849,8.32198755230125,0.23008046956331,0.004729018953769357,0.0006468172912354114,0.006567160909477343,6.031303805712551e-05,,,,,,,,,0,43.37049688440288,"(30, 0, 2)"
0,30,12,0.0507270693512312,8.169628970917218,0.21526579054634032,0.004663141953808393,0.0006531686879399757,0.006340866242224468,6.209873641150232e-05,,,,,,,,,0,43.58898943540674,"(30, 0, 2)"
0,30,13,0.04189356435643548,7.8165383663366255,0.21137783841585575,0.004679736726224141,0.0006608523542159073,0.006351934108388184,6.154317203190442e-05,,,,,,,,,0,43.829214001622255,"(30, 0, 2)"
0,45,0,0.36870175438596703,13.651323859649125,0.41919257487463824,0.0033518586519555066,0.0003889421674289748,0.007927736069283535,4.902676959673521e-07,,,,,,,,,0,54.08326913195984,"(30, 0, 0)"
0,45,1,0.340576368876083,12.832445965417866,0.4125727143039921,0.0038452293852050657,0.0004025354004031883,0.008294697706711932,4.855625312513902e-06,,,,,,,,,0,54.08326913195984,"(30, 0, 1)"
0,45,2,0.3098762376237648,11.882244306930696,0.4285308527072568,0.0043135288984680635,0.00046133733819606054,0.00881683918452799,1.4017245958738248e-05,,,,,,,,,0,54.08326913195984,"(30, 0, 2)"
0,45,3,0.2702034261241997,11.21576948608137,0.3971043920911909,0.004699948162785651,0.0005110271147548861,0.008653703334371134,2.3882065476366983e-05,,,,,,,,,0,54.092513345194085,"(30, 0, 2)"
0,45,4,0.23709708737864352,10.557482038834952,0.3766345923247148,0.004926892678621217,0.0005574997612903149,0.008594681041207197,3.2733830884395635e-05,,,,,,,,,0,54.120236510939236,"(30, 0, 2)"
0,45,5,0.20592128801431409,10.17915205724508,0.3301372980260666,0.00493303134422484,0.0005738931917449653,0.00802057695295435,4.0767368172296745e-05,,,,,,,,,0,54.16641025580336,"(30, 0, 2)"
0,45,6,0.18190846286701495,9.70893419689119,0.3037385700227453,0.004948027492520553,0.0005980301235264576,0.007716946835007313,4.732611170386343e-05,,,,,,,,,0,54.230987451824994,"(30, 0, 2)"
0,45,7,0.1532828282828304,9.38743425925926,0.2694102547302525,0.00485994892196035,0.0006069650226404202,0.007205653058886309,5.271246053112602e-05,,,,,,,,,0,54.31390245600108,"(30, 0, 2)"
0,45,8,0.1257094017094034,8.930751709401706,0.2538638081563919,0.004879224522014734,0.0006293191544018763,0.007029796009248607,5.6999274235140924e-05,,,,,,,,,0,54.415071441651165,"(30, 0, 2)"
0,45,9,0.1009511343804529,8.653026265270505,0.2340901490707504,0.004911641223752283,0.0006446226272276281,0.006762922711612784,6.121570480978268e-05,,,,,,,,,0,54.53439281774392,"(30, 0, 2)"
0,45,10,0.08310661764705828,8.30273612132353,0.22274515954202126,0.004885360518096452,0.0006525305077542025,0.006573113555050304,6.300629855472291e-05,,,,,,,,,0,54.67174773134658,"(30, 0, 2)"
0,45,11,0.06819417475728151,8.12191990291262,0.2110899547238887,0.004887072591102544,0.0006654414374260815,0.006430869176998913,6.486819459498074e-05,,,,,,,,,0,54.8270006474912,"(30, 0, 2)"
0,45,12,0.05605543710021418,7.741877931769713,0.20552186185903268,0.004868077313095873,0.000678602519130936,0.006348088101382817,6.591942360456121e-05,,,,,,,,,0,55.0,"(30, 0, 2)"
0,45,13,0.04401176470588279,7.4940577647058735,0.19857124596373343,0.004804581732402854,0.0006835172491484736,0.006259924697373427,6.584841913940103e-05,,,,,,,,,0,55.190578906186516,"(30, 0, 2)"
0,60,0,0.39534246575342674,13.476994178082192,0.317484708528165,0.003000363613161777,0.0003334465455503103,0.006253438039416457,2.8994492592398334e-06,,,,,,,,,0,67.08203932499369,"(30, 0, 0)"
0,60,1,0.364441260744988,12.575021346704872,0.32989603782876337,0.0035940854232175946,0.0003639311544010651,0.006911467067489133,7.30756973727588e-06,,,,,,,,,0,67.08203932499369,"(30, 0, 1)"
